event_date,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,admin1,admin2,admin3,location,source_scale,notes,fatalities
31-May-21,Protests,Peaceful protest,Protesters (Colombia),,6,,,0,60,Atlantico,Barranquilla,,Barranquilla,National,"On 31 May 2021, in Barranquilla (Atlantico), dozens of citizens protested against increasing cases of police brutality reported during the ongoing political unrest. The group demanded the right for citizens to protests and raised awareness on the growing number of reports of missing protesters. [size=dozens]",0
31-May-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee; Farmers (Colombia),6,,,0,60,Cesar,Curumani,,Curumani,National,"Around 31 May 2021, in Curumani municipality (Cesar), peaceful protesters rallied during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. Farmers blocked rural roads near the municipal seat for several days. [size=no report]",0
31-May-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee; Indigenous Group (Colombia); Labour Group (Colombia),6,,,0,60,Huila,Neiva,,Neiva,National,"On 31 May 2021, in Neiva (Huila), peaceful protesters rallied near the Santander Bridge during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. Truck drivers, indigenous people, and other citizens blocked the street for several days. [size=no report]",0
31-May-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,Valle del Cauca,Andalucia,,Andalucia,National,"On 31 May 2021, in Andalucia municipality (Valle del Cauca), peaceful protesters rallied on the road that connects the municipal seat with the city of Santiago de Cali during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. Protesters blocked the road for several days. Following negotiations with security forces, the group allowed the traffic of vehicles. [size=no reports]",0
31-May-21,Protests,Peaceful protest,Protesters (Colombia),Women (Colombia),6,,,0,60,Bolivar,Cartagena de Indias,,Cartagena,National,"On 31 May 2021, in Cartagena municipality (Bolivar), women and feminist organizations participated in an anti-government protest. The group condemned gender-based violence, particularly in the context of the ongoing political unrest. The group gathered in the city center to demand justice for the victims of sexual violence, femicide, and women victims of the armed conflict in Colombia. [size=no report]",0
31-May-21,Protests,Peaceful protest,Protesters (Colombia),Women (Colombia),6,,,0,60,Bolivar,Cartagena de Indias,,Cartagena,National,"On 31 May 2021, near Cartagena municipality (Bolivar), women and feminist organizations participated in an anti-government protest. The group condemned gender-based violence, particularly in the context of the ongoing political unrest. The group organized a candle vigil on the Route 90 to demand justice for the victims of sexual violence, femicide, and women victims of the armed conflict in Colombia. [size=no report]",0
31-May-21,Protests,Peaceful protest,Protesters (Colombia),,6,,,0,60,Santander,Bucaramanga,,Bucaramanga,Subnational,"On 31 May 2021, in Bucaramanga (Santander), citizens protested against the increasing violence and insecurity registered in the city in the context of the ongoing political unrest. The group marched through the streets to reject acts of vandalism and the blockage of the national roads. [size=no report]",0
31-May-21,Protests,Peaceful protest,Protesters (Colombia),Labour Group (Colombia),6,,,0,60,Santander,Bucaramanga,,Bucaramanga,Subnational,"On 31 May 2021, in Bucaramanga (Santander), shoe manufacturers protested against changes in the tax system introduced by the local government. Protesters gathered near the city hall and demanded modifications in the law as the new decree would affect their base income. [size=no report]",0
31-May-21,Protests,Peaceful protest,Protesters (Colombia),Farmers (Colombia),6,,,0,60,Santander,Barrancabermeja,,Barrancabermeja,Subnational,"On 31 May 2021, in Barrancabermeja (Santander), around 1000 farmers occupied the Colegio Industrial campus to demand health, education, infrastructure, and mining reforms in nearby Bolivar department. [size=around 1000]",0
31-May-21,Riots,Violent demonstration,Rioters (Colombia),CNP: National Strike Committee; Afro-Colombian Ethnic Group (Colombia); Farmers (Colombia); Indigenous Group (Colombia),5,Police Forces of Colombia (2018-) DIRAN: Anti-Narcotics Directorate,Military Forces of Colombia (2018-),1,15,Putumayo,Villagarzon,,Villagarzon,Other-National,"On 31 May 2021, in Villagarzon (Putumayo), demonstrators and military forces clashed during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. Farmers, indigenous people, and Afro-Colombian groups stormed into an oil field complex, resulting in two military soldiers injured. Moreover, one indigenous person got killed when member of the DIRAN police forces opened fire on demonstrators. Social organizations have reported at least 5 people injured. 1 fatality. [size=no report]",1
30-May-21,Protests,Peaceful protest,Protesters (Colombia),,6,,,0,60,Bolivar,Cartagena de Indias,,Cartagena,National,"On 30 May 2021, in Cartagena (Bolivar), protesters marched to show support for the police and military and to reject the violence and blockades that have accompanied some National Strike demonstrations over the course of the previous month. [size=no report]",0
